SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT6581,UT578_A,UT578_AF,UT578_AS,sum
0.0,0.0,0.0,0.0,0.0,0.0,45.0,240.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0
3.5833333333333335,270.0,69.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344.25
0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,205.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0
0.0,0.0,89.83333333333333,10.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,170.83333333333331
0.0,195.0,69.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,475.66666666666663
0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0
0.0,0.0,0.0,0.0,0.0,0.0,275.0,45.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
5.016666666666667,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,311.01666666666665
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,165.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0
1.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,342.43333333333334
0.0,0.0,64.16666666666666,0.0,0.0,0.0,265.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,475.16666666666663
0.0,0.0,42.166666666666664,0.0,0.0,0.0,120.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,293.16666666666663
0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0
0.0,90.0,47.666666666666664,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,163.66666666666666
15.766666666666667,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,321.76666666666665
0.0,0.0,0.0,0.0,0.0,280.0,65.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0
17.916666666666668,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,208.91666666666669
0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0
0.0,0.0,0.0,260.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0
0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,285.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0
0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,110.0,190.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0
0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,260.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,145.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0
0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,35.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0
0.0,0.0,0.0,60.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0
0.0,0.0,0.0,0.0,0.0,230.0,0.0,20.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0
0.0,0.0,69.66666666666666,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,290.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,365.66666666666663
26.516666666666666,0.0,40.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.85
